Abrazaderas sin fin
Valvula P/ducha
Valvulas entrada y salida
Valvulas desairadoras
Valvula tipo flotador (flipe P/tanque aereo)
Valvulas P/gas Propano
Varillas
Ventosa
Vastagos
Vidrio P/soldar
Vidrio solaire 
Wipe
Wisutes
Yee PVC
Yee tee PVC
Yee P/lavadoras
